id_avaliacao,id_pedido,id_restaurante,nota,comentario,criado_em
95,1885,78,3,"Não voltarei toda semana, mas posso pedir de vez em quando.",2024-11-09 14:00:00
96,1834,39,4,Entrega antes do prazo e tudo bem embalado.,2024-02-06 15:00:00
97,652,55,2,"Comida chegou em temperatura morna, não quente.",2024-05-17 14:00:00
98,1234,29,4,Entregador simpático e cuidadoso com o pedido.,2024-06-30 08:00:00
99,1503,64,5,Perfeito! Exatamente como esperado.,2024-09-18 12:00:00
100,1932,48,5,"Marmita completa, bem temperada e ainda quente.",2024-02-08 05:00:00
101,917,27,1,Pedi sem cebola por alergia. Veio com cebola. Problema sério.,2024-10-09 19:00:00
102,994,26,3,"Tudo certo, sem reclamações. Só não ficou surpreso.",2024-04-06 13:00:00
103,430,16,3,"Chegou no prazo, sabor satisfatório.",2024-07-27 06:00:00
104,1371,23,4,Atendimento excelente e embalagem cuidadosa.,2024-06-12 20:00:00
105,240,66,3,"Nada impressionante, mas também não decepciona.",2024-06-28 16:00:00
106,880,23,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-06-21 02:00:00
107,621,6,4,"Comida incrível, super recomendo!",2024-01-20 15:00:00
108,257,76,5,Melhor hambúrguer que já comi por delivery.,2024-11-20 16:00:00
109,612,35,1,"Embalagem rasgada, comida derramou toda na sacola.",2024-12-25 18:00:00
110,545,28,5,Entrega relâmpago e comida na temperatura perfeita.,2024-03-05 14:00:00
111,772,12,4,Salada fresca com ingredientes de qualidade.,2024-07-05 22:00:00
112,1420,43,3,"Embalagem funcional, comida na temperatura certa.",2024-12-16 11:00:00
113,1042,71,1,Faltaram itens no pedido. Paguei por algo que não veio.,2024-05-27 04:00:00
114,1790,77,1,Pedi sem cebola por alergia. Veio com cebola. Problema sério.,2024-04-12 23:00:00
115,760,21,4,Pizza crocante e bem distribuída. Parabéns ao restaurante.,2024-06-13 06:00:00
116,383,53,5,"Carne no ponto, molhos deliciosos e sobremesa de brinde.",2024-10-31 05:00:00
117,1104,17,4,Risoto cremoso na medida certa.,2024-10-06 00:00:00
118,974,68,4,Atendimento excelente e embalagem cuidadosa.,2024-03-14 17:00:00
119,353,22,3,"Chegou no prazo, sabor satisfatório.",2024-01-23 17:00:00
120,1606,27,4,Porção familiar com excelente custo-benefício.,2024-07-29 13:00:00
121,1826,24,1,Arroz empapado e feijão aguado. Parece sobra do dia anterior.,2024-01-23 04:00:00
122,1037,57,1,Embalagem inadequada para frango assado. Chegou encharcado.,2024-07-04 03:00:00
123,1108,14,4,Lanche com pão macio e ingredientes generosos.,2024-03-02 03:00:00
124,495,19,1,Comida com cabelo. Não aceitarei mais pedidos desse restaurante.,2024-02-01 02:00:00
125,394,5,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-08-19 02:00:00
126,1547,18,2,"Molho faltando, pedi extra e não veio.",2024-06-05 19:00:00
127,465,37,2,"Pão do lanche estava duro, como se fosse de ontem.",2024-04-05 14:00:00
128,887,33,4,Restaurante caprichado nos detalhes. Vale o preço.,2024-01-16 10:00:00
129,1194,66,5,"Entregou antes do prazo, tudo fresquinho!",2024-06-11 19:00:00
130,367,72,5,Restaurante tratou o pedido com muito cuidado e carinho.,2024-08-07 12:00:00
131,1894,28,4,Embalagem térmica manteve a comida quente.,2024-12-29 00:00:00
132,1874,20,3,"Chegou no prazo, sabor satisfatório.",2024-09-17 02:00:00
133,745,21,5,Nunca comi uma pizza tão crocante entregue em casa.,2024-04-02 16:00:00
134,530,24,3,"Embalagem funcional, comida na temperatura certa.",2024-02-20 19:00:00
135,803,80,5,"Marmita completa, bem temperada e ainda quente.",2024-04-26 12:00:00
136,1224,50,4,Embalagem térmica manteve a comida quente.,2024-12-26 19:00:00
137,1979,6,5,"Entregou antes do prazo, tudo fresquinho!",2024-01-04 14:00:00
138,1906,1,4,Restaurante caprichado nos detalhes. Vale o preço.,2024-08-06 15:00:00
139,1700,54,2,"Embalagem simples demais, comida misturou tudo.",2024-07-27 19:00:00
140,1545,34,3,"Atendimento neutro, comida sem destaque.",2024-04-12 23:00:00
141,1314,37,2,Atendimento via chat demorou muito para responder.,2024-12-08 02:00:00
142,307,80,2,"Molho faltando, pedi extra e não veio.",2024-05-23 12:00:00
143,1667,47,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-06-19 04:00:00
144,863,4,4,Churrasco macio e bem temperado.,2024-04-27 11:00:00
145,1567,12,5,Prato visivelmente feito com carinho. Sabor inigualável.,2024-09-10 23:00:00
146,531,18,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-09-16 08:00:00
147,655,33,4,Pizza crocante e bem distribuída. Parabéns ao restaurante.,2024-12-27 20:00:00
148,1260,39,5,Pedi pela segunda vez e não decepcionou.,2024-12-30 15:00:00
149,234,27,2,"Entrega foi lenta, embalagem estava úmida.",2024-02-14 19:00:00
150,121,67,2,"Refrigerante chegou quente, sem gelo nenhum.",2024-03-01 08:00:00
151,1698,59,3,Preço justo para o que oferece.,2024-08-22 21:00:00
152,950,64,3,Salada fresca mas molho muito ácido.,2024-05-13 03:00:00
153,618,77,3,Frango grelhado sem tempero marcante.,2024-09-03 07:00:00
154,1179,11,3,"Atendimento neutro, comida sem destaque.",2024-07-08 17:00:00
155,308,9,3,"Pedido correto, sabor mediano. Pode melhorar.",2024-02-05 20:00:00
156,136,2,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-11-18 02:00:00
157,555,6,3,"Pedido correto, sabor mediano. Pode melhorar.",2024-01-02 09:00:00
158,1674,9,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-09-04 10:00:00
159,584,44,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-10-14 20:00:00
160,1641,4,4,Comida chegou quente e bem embalada.,2024-10-01 01:00:00
161,671,60,4,Comida chegou quente e bem embalada.,2024-01-04 18:00:00
162,835,57,2,"Embalagem simples demais, comida misturou tudo.",2024-12-08 23:00:00
163,110,43,5,"Temperatura ideal na entrega, comida deliciosa.",2024-07-30 21:00:00
164,1165,31,1,"Lanche amassado, batata frita encharcada de óleo.",2024-08-14 05:00:00
165,1960,80,4,Atendimento excelente e embalagem cuidadosa.,2024-06-15 21:00:00
166,1465,18,2,"Sabor razoável, mas a porção foi bem menor que o esperado.",2024-04-29 17:00:00
167,1729,63,4,"Entrega rápida e comida saborosa, 10/10!",2024-12-15 02:00:00
168,1243,43,4,Entrega antes do prazo e tudo bem embalado.,2024-09-21 21:00:00
169,212,61,3,Frango grelhado sem tempero marcante.,2024-02-09 22:00:00
170,1768,12,4,Comida chegou quente e bem embalada.,2024-12-09 08:00:00
171,1121,47,4,Restaurante caprichado nos detalhes. Vale o preço.,2024-10-18 01:00:00
172,680,72,2,"Molho faltando, pedi extra e não veio.",2024-12-01 18:00:00
173,1951,49,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-12-08 07:00:00
174,1839,38,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-03-10 15:00:00
175,412,15,5,Nunca comi uma pizza tão crocante entregue em casa.,2024-10-30 20:00:00
176,1325,53,4,Risoto cremoso na medida certa.,2024-12-01 13:00:00
177,783,74,5,Prato visivelmente feito com carinho. Sabor inigualável.,2024-04-06 09:00:00
178,1346,57,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-11-01 18:00:00
179,875,73,5,Pedi pela segunda vez e não decepcionou.,2024-05-28 13:00:00
180,1653,48,1,Entregador rude e pedido incompleto. Pior experiência.,2024-03-27 09:00:00
181,1279,60,3,"Prato bem montado, sabor dentro do esperado.",2024-05-15 19:00:00
182,786,74,3,"Porção adequada, sabor regular.",2024-03-27 13:00:00
183,1819,17,1,"Molho derramado, embalagem completamente inadequada.",2024-06-03 17:00:00
184,1199,79,3,"Nada impressionante, mas também não decepciona.",2024-12-01 16:00:00
185,808,22,2,"Entrega foi lenta, embalagem estava úmida.",2024-05-16 08:00:00
186,713,70,5,Sushi premium com peixe de qualidade superior.,2024-06-04 05:00:00
187,1991,64,5,Melhor hambúrguer que já comi por delivery.,2024-05-08 14:00:00
188,1660,80,1,Entrega levou mais de 2 horas. Absurdo!,2024-12-06 14:00:00
189,1191,14,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-08-13 11:00:00
190,1226,13,3,"Pedido correto, sabor mediano. Pode melhorar.",2024-02-12 02:00:00
191,603,54,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-05-14 06:00:00
192,271,25,5,Prato visivelmente feito com carinho. Sabor inigualável.,2024-05-01 19:00:00
193,1385,29,4,Restaurante caprichado nos detalhes. Vale o preço.,2024-07-17 14:00:00
194,232,20,2,Pizza com massa crua no meio. Precisava de mais tempo no forno.,2024-12-15 07:00:00
195,50,34,4,Entrega antes do prazo e tudo bem embalado.,2024-04-08 22:00:00
196,463,31,1,Pizza chegou fria e murcha. Parecia papelão.,2024-01-01 15:00:00
197,1106,66,4,Comida chegou quente e bem embalada.,2024-09-23 17:00:00
198,856,58,5,"Carne no ponto, molhos deliciosos e sobremesa de brinde.",2024-10-13 05:00:00
199,694,19,5,Qualidade de restaurante presencial em casa. Impressionante.,2024-05-21 10:00:00
200,1552,52,4,Adorei! Já virou meu favorito.,2024-09-14 23:00:00
201,1873,20,3,"Comida caseira simples. Sem inovação, mas honesta.",2024-05-01 21:00:00
202,527,41,5,Pedi pela segunda vez e não decepcionou.,2024-10-06 12:00:00
203,174,31,3,"Atendimento neutro, comida sem destaque.",2024-04-30 02:00:00
204,721,6,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-05-06 16:00:00
205,415,36,4,Churrasco macio e bem temperado.,2024-04-24 19:00:00
206,238,3,4,Atendimento excelente e embalagem cuidadosa.,2024-03-15 12:00:00
207,1473,47,4,Risoto cremoso na medida certa.,2024-12-31 04:00:00
208,1336,9,4,Risoto cremoso na medida certa.,2024-10-17 13:00:00
209,1064,68,3,"Comida caseira simples. Sem inovação, mas honesta.",2024-08-09 00:00:00
210,24,9,3,"Embalagem funcional, comida na temperatura certa.",2024-07-31 19:00:00
211,1767,20,1,"Errou o endereço, comida foi entregue no vizinho.",2024-04-21 10:00:00
212,64,60,3,Restaurante cumpriu o básico esperado.,2024-11-01 03:00:00
213,290,60,4,Restaurante caprichado nos detalhes. Vale o preço.,2024-09-11 06:00:00
214,189,24,3,"Prato bem montado, sabor dentro do esperado.",2024-06-20 13:00:00
215,702,46,4,Risoto cremoso na medida certa.,2024-03-23 23:00:00
216,1815,6,4,Salada fresca com ingredientes de qualidade.,2024-11-04 06:00:00
217,1138,28,5,Simplesmente incrível! Melhor delivery que já experimentei.,2024-09-12 20:00:00
218,355,77,2,"Sabor mediano, já comi muito melhor no mesmo estilo.",2024-07-19 04:00:00
219,417,74,5,"Marmita completa, bem temperada e ainda quente.",2024-08-28 11:00:00
220,1246,27,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-11-13 20:00:00
221,931,38,5,Entrega relâmpago e comida na temperatura perfeita.,2024-09-18 06:00:00
222,197,1,3,"Porção adequada, sabor regular.",2024-11-09 05:00:00
223,580,35,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-01-10 11:00:00
224,1135,59,1,Entregador sumiu com o pedido. Tive que acionar o suporte.,2024-07-03 12:00:00
225,1814,15,5,Voltei ao mesmo restaurante 5 vezes. Qualidade constante.,2024-01-29 06:00:00
226,1935,21,4,Entregador simpático e cuidadoso com o pedido.,2024-12-10 03:00:00
227,434,79,5,Restaurante tratou o pedido com muito cuidado e carinho.,2024-03-16 12:00:00
228,101,21,5,"Atendimento rápido, comida excepcional. Recomendo a todos.",2024-05-29 02:00:00
229,1655,35,4,Preço justo para a qualidade entregue.,2024-04-04 18:00:00
230,395,13,2,Entrega atrasou bastante e a comida chegou morna.,2024-12-12 16:00:00
231,1939,25,5,Voltei ao mesmo restaurante 5 vezes. Qualidade constante.,2024-12-09 21:00:00
232,221,25,2,"Comida chegou em temperatura morna, não quente.",2024-03-25 23:00:00
233,1676,30,3,Salada fresca mas molho muito ácido.,2024-07-20 03:00:00
234,1498,64,4,"Entrega rápida e comida saborosa, 10/10!",2024-08-04 11:00:00
235,1785,31,3,"Tudo certo, sem reclamações. Só não ficou surpreso.",2024-06-26 06:00:00
236,345,29,2,"Itens básicos faltando, como guardanapo e talheres.",2024-09-16 06:00:00
237,1028,39,4,Comida chegou quente e bem embalada.,2024-08-19 06:00:00
238,889,20,3,"Prato bem montado, sabor dentro do esperado.",2024-08-25 22:00:00
239,1351,23,5,Sushi premium com peixe de qualidade superior.,2024-06-14 17:00:00
240,553,7,4,Massa artesanal com molho rico em sabor.,2024-12-14 10:00:00
241,744,1,3,Massa al dente mas molho podia ter mais sabor.,2024-11-30 13:00:00
242,1542,71,4,Massa artesanal com molho rico em sabor.,2024-04-10 15:00:00
243,539,45,5,Entrega relâmpago e comida na temperatura perfeita.,2024-11-22 04:00:00
244,907,30,5,Superou todas as expectativas. Nota máxima com folga.,2024-10-24 09:00:00
245,1395,13,5,Sushi premium com peixe de qualidade superior.,2024-07-07 04:00:00
246,116,68,5,Entrega relâmpago e comida na temperatura perfeita.,2024-04-16 15:00:00
247,830,69,4,Adorei! Já virou meu favorito.,2024-10-04 02:00:00
248,1938,17,3,"Porção adequada, sabor regular.",2024-04-15 12:00:00
249,809,21,3,"Entrega rápida, mas a comida era comum.",2024-12-12 19:00:00
250,1311,19,4,Adorei! Já virou meu favorito.,2024-02-23 17:00:00
251,1005,74,2,"Molho faltando, pedi extra e não veio.",2024-05-28 18:00:00
252,306,77,5,"Temperatura ideal na entrega, comida deliciosa.",2024-10-01 08:00:00
253,1101,59,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-06-10 02:00:00
254,480,6,4,Embalagem térmica manteve a comida quente.,2024-07-29 17:00:00
255,1424,17,4,Entregador simpático e cuidadoso com o pedido.,2024-01-25 04:00:00
256,1076,40,3,Restaurante cumpriu o básico esperado.,2024-05-31 06:00:00
257,571,11,5,Restaurante tratou o pedido com muito cuidado e carinho.,2024-09-27 02:00:00
258,619,16,1,Embalagem inadequada para frango assado. Chegou encharcado.,2024-05-27 17:00:00
259,1898,36,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-05-16 14:00:00
260,1266,44,3,"Embalagem funcional, comida na temperatura certa.",2024-11-27 10:00:00
261,79,4,4,Comida chegou quente e bem embalada.,2024-10-17 07:00:00
262,1912,75,5,Melhor hambúrguer que já comi por delivery.,2024-11-06 15:00:00
263,33,19,5,Entrega relâmpago e comida na temperatura perfeita.,2024-07-08 14:00:00
264,1538,80,3,"Nada impressionante, mas também não decepciona.",2024-06-18 06:00:00
265,1034,42,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-05-31 00:00:00
266,1563,13,3,Frango grelhado sem tempero marcante.,2024-09-20 18:00:00
267,352,41,4,Porção familiar com excelente custo-benefício.,2024-03-05 02:00:00
268,164,47,4,Atendimento excelente e embalagem cuidadosa.,2024-08-29 15:00:00
269,204,22,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-12-18 05:00:00
270,1054,62,4,Pedi pela segunda vez e manteve a qualidade.,2024-08-07 04:00:00
271,1365,25,5,Melhor restaurante que já pedi. Voltarei com certeza.,2024-02-02 14:00:00
272,1967,32,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-02-22 16:00:00
273,496,5,4,Sabor excelente e porção generosa.,2024-01-20 12:00:00
274,1625,58,3,"Embalagem funcional, comida na temperatura certa.",2024-05-07 03:00:00
275,1966,43,3,"Prato bem montado, sabor dentro do esperado.",2024-05-06 22:00:00
276,1963,28,3,"Embalagem funcional, comida na temperatura certa.",2024-04-18 01:00:00
277,611,78,5,Entregou em 20 minutos e ainda com brinde. Excelente!,2024-04-07 23:00:00
278,433,21,2,"Embalagem de salada amassada, folhas murchas.",2024-01-08 12:00:00
279,1492,70,5,Melhor hambúrguer que já comi por delivery.,2024-01-21 05:00:00
280,219,17,3,"Porção adequada, sabor regular.",2024-09-09 11:00:00
281,1931,28,2,"Sabor razoável, mas a porção foi bem menor que o esperado.",2024-10-19 21:00:00
282,1466,2,1,Entregador sumiu com o pedido. Tive que acionar o suporte.,2024-03-18 10:00:00
283,631,13,1,Cobrou a mais e o pedido veio incompleto.,2024-02-29 04:00:00
284,1382,11,3,"Razoável pelo preço. Já comi melhor, já comi pior.",2024-07-02 21:00:00
285,1302,23,5,Pedi pela segunda vez e não decepcionou.,2024-08-07 00:00:00
286,60,46,3,"Prato bem montado, sabor dentro do esperado.",2024-09-28 15:00:00
287,299,72,3,"Sabor agradável, porém a porção poderia ser maior.",2024-03-06 03:00:00
288,1711,54,5,"Entregador gentil, comida impecável. Experiência 5 estrelas.",2024-10-17 11:00:00
289,74,26,5,Pedi pela segunda vez e não decepcionou.,2024-10-29 01:00:00
290,163,25,3,Preço justo para o que oferece.,2024-02-11 23:00:00
291,1275,2,4,Comida saborosa e entrega dentro do prazo. Recomendo.,2024-12-26 17:00:00
292,1594,8,3,"Pedido chegou completo, qualidade regular.",2024-09-20 01:00:00
293,1434,58,4,Preço justo para a qualidade entregue.,2024-12-31 15:00:00
294,1613,64,5,Qualidade de restaurante presencial em casa. Impressionante.,2024-01-30 12:00:00
295,592,46,5,"Atendimento rápido, comida excepcional. Recomendo a todos.",2024-11-18 13:00:00
296,317,59,5,Entrega relâmpago e comida na temperatura perfeita.,2024-02-09 13:00:00
297,46,8,5,Voltei ao mesmo restaurante 5 vezes. Qualidade constante.,2024-04-27 02:00:00
298,1720,9,5,"Entregador gentil, comida impecável. Experiência 5 estrelas.",2024-11-08 20:00:00
299,1832,77,2,"Pão do lanche estava duro, como se fosse de ontem.",2024-10-30 22:00:00
300,428,67,1,"Lanche amassado, batata frita encharcada de óleo.",2024-07-25 21:00:00
301,582,21,4,Risoto cremoso na medida certa.,2024-05-23 21:00:00
302,77,24,2,Pedido atrasou 45 minutos além do prometido.,2024-09-08 11:00:00
303,1917,10,3,"Ok para o dia a dia, nada especial.",2024-11-25 22:00:00
304,1415,69,4,Salada fresca com ingredientes de qualidade.,2024-02-10 23:00:00
305,781,33,4,"Prato caprichado, ingredientes frescos e saborosos.",2024-09-03 20:00:00
306,1920,32,4,Churrasco macio e bem temperado.,2024-02-29 09:00:00
307,1174,46,4,Sabor excelente e porção generosa.,2024-10-11 23:00:00
308,1320,6,4,"Sushi bem preparado, arroz na textura ideal.",2024-04-14 21:00:00
309,938,20,5,Prato visivelmente feito com carinho. Sabor inigualável.,2024-12-23 03:00:00
310,31,20,4,Salada fresca com ingredientes de qualidade.,2024-06-29 12:00:00
311,1092,3,4,Porção familiar com excelente custo-benefício.,2024-08-18 02:00:00
312,1616,54,3,"Entrega rápida, mas a comida era comum.",2024-11-26 18:00:00
313,1230,36,3,"Entrega dentro do prazo, comida ok. Nada extraordinário.",2024-04-18 07:00:00
314,975,17,4,Qualidade consistente. Sempre bom ao pedir.,2024-10-18 10:00:00
315,1085,45,4,Pedi pela segunda vez e manteve a qualidade.,2024-08-25 00:00:00
316,515,19,5,Cada detalhe do prato estava perfeito. Arte na cozinha.,2024-05-10 15:00:00
317,1551,74,1,Entregador rude e pedido incompleto. Pior experiência.,2024-11-26 11:00:00
318,1568,43,3,Boa comida mas embalagem simples. Cumpriu o prometido.,2024-07-08 08:00:00
319,1811,76,3,"Sabor agradável, porém a porção poderia ser maior.",2024-11-05 20:00:00
320,1574,74,3,"Entrega rápida, mas a comida era comum.",2024-04-18 14:00:00
321,45,69,5,"Atendimento rápido, comida excepcional. Recomendo a todos.",2024-12-07 19:00:00
