id_pedido,id_restaurante,valor_pedido,quantidade_itens,tempo_preparo_minutos,tempo_entrega_minutos,tempo_total_minutos,tempo_estimado_minutos,atraso_minutos,atrasado,clima,hora,dia_semana,distancia_km
38,2,29.04,2,45,89,134,87,47,1,Nublado,20,Quinta,12.5
39,48,73.68,4,20,15,35,30,5,0,Chuvoso,16,Quarta,1.1
40,74,39.47,4,12,40,52,55,-3,0,Nublado,7,Domingo,10.0
41,15,45.02,6,23,61,84,42,42,1,Chuvoso,19,Quinta,5.3
42,44,61.24,3,24,18,42,41,1,0,Nublado,11,Sábado,2.9
43,19,29.09,5,42,5,47,45,2,0,Ensolarado,14,Sábado,0.5
44,11,21.53,2,51,54,105,53,52,1,Tempestade,20,Segunda,4.0
45,69,109.6,1,12,35,47,41,6,1,Ensolarado,15,Sexta,5.0
46,8,308.49,4,10,15,25,21,4,0,Ensolarado,21,Terça,0.5
47,66,78.01,2,12,40,52,29,23,1,Chuvoso,12,Domingo,2.6
48,23,89.73,4,17,32,49,58,-9,0,Ensolarado,1,Domingo,8.6
49,70,31.51,3,28,41,69,44,25,1,Chuvoso,16,Sábado,3.7
50,34,23.83,2,9,33,42,45,-3,0,Ensolarado,16,Sábado,7.8
51,8,36.63,3,9,12,21,21,0,0,Nublado,19,Quarta,0.5
52,69,80.66,2,20,21,41,34,7,1,Chuvoso,16,Quinta,2.9
53,47,27.3,1,10,22,32,24,8,1,Ensolarado,19,Quarta,1.3
54,73,31.16,4,13,30,43,36,7,1,Nublado,10,Terça,3.6
55,14,44.0,4,13,17,30,27,3,0,Nublado,9,Terça,1.5
56,80,80.23,1,18,9,27,33,-6,0,Ensolarado,23,Sexta,0.5
57,44,15.77,1,19,10,29,33,-4,0,Ensolarado,10,Terça,0.5
58,7,27.29,3,29,18,47,31,16,1,Garoa,17,Quarta,0.6
59,37,77.05,3,25,53,78,29,49,1,Tempestade,19,Terça,0.5
60,46,34.22,2,26,33,59,48,11,1,Nublado,21,Sexta,3.3
61,79,89.64,3,19,21,40,32,8,1,Garoa,9,Segunda,0.9
62,29,26.21,3,12,11,23,25,-2,0,Ensolarado,20,Quinta,0.6
63,31,96.53,2,25,25,50,42,8,1,Nublado,5,Terça,2.1
64,60,50.91,3,53,24,77,48,29,1,Chuvoso,23,Terça,1.8
65,66,135.43,3,11,31,42,29,13,1,Nublado,20,Terça,2.7
66,41,39.59,2,11,27,38,28,10,1,Garoa,14,Domingo,2.8
67,31,48.35,5,29,18,47,37,10,1,Chuvoso,18,Sexta,0.7
68,50,46.52,2,22,30,52,33,19,1,Chuvoso,10,Terça,2.8
69,18,116.62,3,16,15,31,37,-6,0,Ensolarado,9,Segunda,1.6
70,40,62.14,4,12,33,45,53,-8,0,Ensolarado,17,Quarta,7.4
71,54,40.83,5,35,54,89,55,34,1,Chuvoso,19,Quinta,5.5
72,56,102.74,5,22,16,38,37,1,0,Chuvoso,20,Sexta,1.3
73,58,50.75,5,19,31,50,38,12,1,Nublado,14,Sexta,3.2
74,26,43.24,2,18,34,52,39,13,1,Ensolarado,20,Segunda,3.0
75,74,28.63,1,12,10,22,25,-3,0,Ensolarado,19,Sexta,1.2
76,8,66.88,3,9,24,33,22,11,1,Garoa,19,Sábado,0.7
77,24,28.76,2,16,15,31,34,-3,0,Ensolarado,16,Segunda,2.8
78,77,50.0,6,16,64,80,51,29,1,Ensolarado,12,Quarta,8.0
79,4,49.02,6,22,35,57,42,15,1,Garoa,20,Sexta,4.4
80,67,62.81,4,14,43,57,56,1,0,Ensolarado,18,Quarta,10.1
81,77,52.31,2,16,8,24,27,-3,0,Garoa,15,Sábado,0.8
82,17,26.58,1,19,16,35,35,0,0,Nublado,17,Sexta,2.3
83,8,31.65,5,10,17,27,21,6,1,Chuvoso,13,Quarta,0.5
84,11,45.26,5,27,52,79,67,12,1,Ensolarado,12,Sábado,8.4
85,72,66.78,2,9,34,43,30,13,1,Nublado,20,Sexta,3.2
86,74,56.7,3,18,18,36,25,11,1,Nublado,12,Domingo,1.0
87,50,19.75,2,18,14,32,27,5,0,Nublado,23,Sábado,1.1
88,58,30.3,3,27,30,57,37,20,1,Chuvoso,9,Quinta,3.1
89,14,26.35,5,16,53,69,38,31,1,Nublado,19,Terça,4.7
90,14,54.04,6,13,11,24,26,-2,0,Ensolarado,14,Sábado,1.0
91,6,37.84,3,11,7,18,22,-4,0,Ensolarado,18,Quarta,0.5
92,80,56.8,5,26,49,75,53,22,1,Garoa,17,Segunda,6.5
93,4,38.71,3,24,12,36,29,7,1,Chuvoso,15,Terça,0.5
94,49,185.79,4,23,43,66,52,14,1,Ensolarado,19,Sexta,5.6
95,13,158.59,2,14,25,39,38,1,0,Nublado,23,Quarta,4.0
96,30,48.07,5,20,55,75,43,32,1,Tempestade,22,Sexta,6.6
97,71,17.88,5,33,32,65,47,18,1,Nublado,12,Sábado,2.5
98,58,43.51,2,15,50,65,68,-3,0,Ensolarado,16,Sábado,12.3
99,48,49.02,1,20,15,35,30,5,0,Nublado,17,Domingo,1.2
100,49,94.51,3,24,25,49,46,3,0,Nublado,17,Quinta,3.7
101,21,120.49,3,22,11,33,33,0,0,Ensolarado,15,Quarta,0.5
102,77,47.61,1,25,15,40,28,12,1,Chuvoso,17,Quarta,1.2
103,29,87.72,2,20,19,39,25,14,1,Chuvoso,19,Sábado,0.5
104,36,57.22,3,25,14,39,31,8,1,Garoa,18,Sábado,0.5
105,9,25.49,5,15,21,36,33,3,0,Nublado,4,Sexta,3.1
106,54,99.44,3,25,12,37,38,-1,0,Nublado,21,Quinta,0.5
107,25,24.39,2,42,40,82,52,30,1,Chuvoso,19,Quinta,2.6
108,69,61.45,3,15,23,38,32,6,1,Ensolarado,15,Domingo,2.2
109,67,73.78,5,23,25,48,24,24,1,Tempestade,18,Sábado,0.5
110,43,187.37,4,17,68,85,46,39,1,Chuvoso,13,Quarta,6.7
111,59,64.34,3,31,9,40,39,1,0,Ensolarado,21,Segunda,0.6
112,45,37.87,2,25,18,43,28,15,1,Chuvoso,22,Domingo,1.0
113,74,83.9,2,20,14,34,24,10,1,Tempestade,7,Sexta,0.7
114,5,66.56,4,20,22,42,33,9,1,Ensolarado,19,Domingo,1.0
115,65,51.42,3,27,25,52,43,9,1,Ensolarado,12,Quinta,1.8
116,68,163.22,1,20,5,25,31,-6,0,Ensolarado,17,Sábado,0.9
117,80,72.74,5,21,10,31,34,-3,0,Ensolarado,21,Sexta,0.7
118,14,54.08,2,13,17,30,37,-7,0,Ensolarado,8,Quinta,4.3
119,37,81.2,3,15,20,35,38,-3,0,Garoa,1,Sábado,3.3
120,59,110.61,3,22,53,75,72,3,0,Ensolarado,9,Quinta,10.6
121,67,114.73,4,11,18,29,31,-2,0,Ensolarado,18,Quinta,2.6
122,64,33.63,2,15,23,38,34,4,0,Nublado,10,Quinta,3.1
123,30,28.24,2,20,32,52,34,18,1,Garoa,17,Sexta,3.9
124,31,23.22,3,25,8,33,46,-13,0,Ensolarado,23,Sábado,3.3
125,67,210.58,3,10,40,50,34,16,1,Ensolarado,19,Sábado,3.6
126,37,52.97,4,12,37,49,53,-4,0,Ensolarado,16,Domingo,7.7
127,72,72.2,3,9,15,24,26,-2,0,Nublado,18,Quinta,2.1
128,55,63.58,4,31,6,37,32,5,0,Chuvoso,19,Sábado,1.0
129,37,102.09,2,18,11,29,29,0,0,Nublado,18,Domingo,0.5
130,45,43.57,1,20,19,39,30,9,1,Chuvoso,14,Sexta,1.6
131,79,59.13,1,17,105,122,93,29,1,Ensolarado,12,Sábado,19.4
132,27,74.48,5,14,19,33,27,6,1,Nublado,17,Domingo,0.8
133,32,74.55,3,19,28,47,27,20,1,Chuvoso,20,Quarta,1.4
134,60,16.75,1,32,14,46,47,-1,0,Ensolarado,20,Sábado,1.3
135,34,83.54,5,15,57,72,50,22,1,Garoa,22,Terça,9.2
136,2,75.05,4,48,37,85,57,28,1,Garoa,19,Domingo,3.7
137,13,125.1,3,16,15,31,29,2,0,Ensolarado,13,Sábado,1.2
138,9,15.0,3,21,15,36,25,11,1,Chuvoso,15,Sábado,0.9
139,38,36.61,2,12,9,21,27,-6,0,Ensolarado,20,Domingo,0.8
140,75,22.97,5,21,17,38,32,6,1,Nublado,2,Domingo,0.5
141,48,105.06,5,19,22,41,28,13,1,Chuvoso,10,Segunda,0.5
142,53,15.0,5,15,22,37,36,1,0,Ensolarado,12,Quinta,2.8
143,27,23.83,5,12,6,18,26,-8,0,Ensolarado,12,Sexta,0.5
144,4,63.48,4,27,26,53,32,21,1,Chuvoso,8,Quinta,1.6
145,9,87.61,2,23,24,47,27,20,1,Chuvoso,22,Quinta,1.4
146,52,61.83,2,26,21,47,46,1,0,Nublado,14,Segunda,3.0
147,30,47.66,2,12,10,22,35,-13,0,Ensolarado,22,Segunda,4.1
148,76,69.93,3,20,13,33,32,1,0,Ensolarado,22,Sábado,0.8
149,44,66.09,2,20,11,31,41,-10,0,Ensolarado,17,Domingo,2.8
150,8,64.54,3,12,19,31,26,5,0,Chuvoso,10,Terça,2.0
151,41,31.45,1,9,30,39,39,0,0,Nublado,18,Sexta,6.1
152,16,34.38,3,20,14,34,35,-1,0,Ensolarado,20,Quarta,0.5
153,32,210.32,2,14,37,51,52,-1,0,Ensolarado,6,Sábado,8.8
154,30,22.7,5,12,29,41,28,13,1,Ensolarado,21,Quarta,2.0
155,73,31.68,1,12,16,28,28,0,0,Ensolarado,0,Domingo,1.1
156,46,60.69,1,31,23,54,41,13,1,Chuvoso,11,Terça,1.0
157,78,24.98,2,14,22,36,39,-3,0,Ensolarado,1,Sábado,4.5
158,6,43.48,3,19,19,38,22,16,1,Chuvoso,9,Segunda,0.5
159,8,87.81,3,16,43,59,35,24,1,Chuvoso,19,Sexta,4.8
160,45,40.65,1,18,21,39,27,12,1,Garoa,8,Sexta,0.5
161,5,28.92,3,25,26,51,32,19,1,Nublado,20,Domingo,0.5
162,74,57.78,2,16,36,52,47,5,0,Nublado,22,Segunda,7.8
163,25,41.95,1,36,38,74,53,21,1,Garoa,19,Sexta,2.8
164,47,16.71,2,7,36,43,41,2,0,Ensolarado,7,Sexta,6.5
165,11,39.19,6,20,10,30,44,-14,0,Ensolarado,18,Sexta,1.4
166,19,15.0,1,37,8,45,46,-1,0,Nublado,16,Quinta,0.8
167,65,49.14,4,31,41,72,51,21,1,Chuvoso,19,Sábado,4.2
168,19,15.0,2,40,29,69,48,21,1,Nublado,19,Terça,1.3
169,29,48.23,1,16,21,37,27,10,1,Nublado,12,Quinta,1.0
170,40,179.14,2,19,12,31,30,1,0,Ensolarado,14,Sábado,0.7
171,21,77.19,1,27,37,64,48,16,1,Chuvoso,22,Segunda,5.3
172,18,78.52,3,23,26,49,42,7,1,Chuvoso,7,Sábado,3.2
173,13,77.55,1,15,6,21,27,-6,0,Ensolarado,17,Sexta,0.5
174,31,108.1,5,43,10,53,38,15,1,Chuvoso,13,Sábado,1.0
175,47,36.59,2,10,62,72,43,29,1,Nublado,19,Domingo,7.2
176,42,48.16,2,34,100,134,86,48,1,Chuvoso,17,Terça,15.5
177,45,67.89,4,12,13,25,27,-2,0,Ensolarado,8,Sábado,0.5
178,9,27.72,6,13,29,42,32,10,1,Chuvoso,17,Sábado,2.8
179,57,189.67,1,16,31,47,36,11,1,Nublado,20,Sexta,2.5
180,10,29.3,2,13,9,22,25,-3,0,Ensolarado,22,Sábado,0.5
181,71,22.33,1,28,12,40,42,-2,0,Ensolarado,19,Quarta,1.0
182,48,122.22,1,16,25,41,35,6,1,Nublado,21,Sexta,2.6
183,30,22.68,2,19,15,34,31,3,0,Chuvoso,18,Segunda,3.0
184,28,37.41,4,18,5,23,34,-11,0,Ensolarado,14,Quarta,0.5
185,24,40.14,1,18,16,34,30,4,0,Ensolarado,20,Sexta,1.5
186,43,66.71,2,18,13,31,26,5,0,Chuvoso,9,Sexta,0.9
187,8,151.08,2,6,20,26,34,-8,0,Nublado,18,Sexta,4.3
188,55,112.94,2,25,27,52,35,17,1,Nublado,19,Segunda,1.9
189,24,37.31,1,22,19,41,30,11,1,Chuvoso,19,Sexta,1.5
190,62,55.92,2,27,50,77,65,12,1,Ensolarado,13,Sexta,9.1
191,43,97.06,2,12,24,36,40,-4,0,Ensolarado,10,Terça,4.9
192,24,18.42,2,13,23,36,33,3,0,Ensolarado,0,Sábado,2.4
193,20,194.21,4,28,39,67,42,25,1,Chuvoso,19,Sexta,3.5
194,50,22.17,1,15,21,36,26,10,1,Ensolarado,7,Domingo,0.7
195,56,54.95,3,27,19,46,36,10,1,Nublado,22,Domingo,1.1
196,44,79.91,1,29,19,48,34,14,1,Ensolarado,19,Quinta,0.6
197,1,73.95,4,21,28,49,40,9,1,Nublado,12,Sábado,3.0
198,18,54.06,2,37,74,111,69,42,1,Chuvoso,22,Segunda,11.3
199,17,29.87,2,18,26,44,45,-1,0,Ensolarado,17,Sexta,5.3
200,32,32.12,3,11,32,43,41,2,0,Ensolarado,12,Quarta,5.5
201,39,23.31,2,16,18,34,30,4,0,Garoa,8,Sexta,0.5
202,67,62.38,2,20,34,54,32,22,1,Chuvoso,19,Sábado,2.9
203,65,60.56,4,30,28,58,51,7,1,Nublado,8,Terça,4.2
204,22,143.08,3,22,46,68,46,22,1,Chuvoso,18,Terça,5.8
205,65,162.94,5,33,18,51,39,12,1,Nublado,19,Sábado,0.5
206,64,42.27,5,14,21,35,26,9,1,Nublado,17,Sexta,0.7
207,59,81.49,2,28,27,55,61,-6,0,Ensolarado,18,Terça,7.5
208,76,45.49,3,22,18,40,36,4,0,Ensolarado,12,Quarta,2.2
209,50,15.0,4,12,33,45,36,9,1,Ensolarado,12,Quinta,3.8
210,46,22.18,3,53,18,71,39,32,1,Tempestade,7,Domingo,0.5
211,54,92.84,4,35,35,70,49,21,1,Nublado,16,Quinta,3.8
212,61,23.59,3,47,33,80,42,38,1,Chuvoso,21,Quinta,0.5
213,2,56.4,1,32,73,105,79,26,1,Ensolarado,12,Sexta,10.1
214,73,22.02,4,16,40,56,51,5,0,Ensolarado,7,Domingo,8.1
215,76,52.88,2,16,48,64,66,-2,0,Ensolarado,16,Terça,11.2
216,44,24.65,2,23,16,39,42,-3,0,Ensolarado,14,Sexta,3.2
217,1,51.98,3,19,16,35,32,3,0,Ensolarado,12,Quinta,0.5
218,54,159.54,1,25,48,73,57,16,1,Ensolarado,20,Sábado,6.0
219,17,23.63,3,26,30,56,32,24,1,Chuvoso,19,Quarta,1.6
220,43,187.54,3,12,22,34,33,1,0,Ensolarado,21,Domingo,2.8
221,25,27.4,3,34,6,40,45,-5,0,Garoa,8,Quinta,0.5
222,5,25.96,2,26,44,70,46,24,1,Garoa,13,Sexta,4.7
223,21,99.04,3,38,23,61,33,28,1,Chuvoso,13,Sábado,0.5
224,3,28.19,3,53,89,142,79,63,1,Chuvoso,20,Sábado,11.6
225,49,139.59,2,27,35,62,59,3,0,Ensolarado,18,Quinta,7.7
226,70,22.39,3,20,54,74,73,1,0,Garoa,9,Terça,12.3
227,1,24.71,4,21,30,51,54,-3,0,Ensolarado,11,Terça,7.2
228,50,27.86,5,18,8,26,25,1,0,Chuvoso,7,Sábado,0.5
229,5,216.54,1,30,40,70,44,26,1,Chuvoso,4,Quarta,4.1
230,15,69.79,4,22,52,74,42,32,1,Chuvoso,13,Terça,5.4
231,44,63.88,2,24,88,112,80,32,1,Nublado,20,Terça,14.4
232,20,118.86,2,18,25,43,36,7,1,Nublado,19,Quarta,1.6
233,13,145.71,2,8,71,79,62,17,1,Nublado,19,Quinta,11.0
234,27,29.61,2,19,26,45,27,18,1,Chuvoso,20,Quinta,0.8
235,74,103.44,2,10,23,33,25,8,1,Nublado,22,Domingo,1.2
236,69,51.85,4,16,27,43,30,13,1,Garoa,13,Sexta,1.8
237,22,55.43,3,20,66,86,59,27,1,Ensolarado,20,Terça,9.6
238,3,60.5,4,36,62,98,71,27,1,Ensolarado,21,Sexta,9.3
239,58,15.53,2,24,28,52,29,23,1,Chuvoso,21,Quarta,0.5
240,66,118.76,5,11,20,31,22,9,1,Nublado,21,Terça,0.5
241,19,30.89,1,36,23,59,55,4,0,Ensolarado,10,Quinta,3.5
242,26,34.33,6,20,18,38,37,1,0,Ensolarado,5,Sexta,2.4
243,72,27.0,4,11,40,51,32,19,1,Garoa,13,Segunda,3.7
244,21,115.03,2,25,29,54,49,5,0,Ensolarado,18,Sábado,5.4
245,42,181.16,4,26,27,53,47,6,1,Ensolarado,20,Sábado,3.6
246,70,55.22,2,23,33,56,48,8,1,Ensolarado,14,Segunda,5.0
247,11,37.92,3,46,28,74,42,32,1,Chuvoso,20,Sexta,0.8
248,79,117.34,1,20,9,29,31,-2,0,Ensolarado,8,Quarta,0.5
249,35,39.82,1,16,14,30,33,-3,0,Nublado,14,Sábado,1.3
250,30,37.09,3,15,23,38,25,13,1,Ensolarado,21,Sexta,1.2
251,44,69.39,3,29,16,45,35,10,1,Nublado,11,Terça,1.1
252,26,72.55,1,25,25,50,31,19,1,Chuvoso,11,Quinta,0.5
253,26,65.27,3,18,21,39,32,7,1,Nublado,23,Segunda,0.9
254,66,66.25,3,11,20,31,30,1,0,Ensolarado,23,Sexta,2.8
255,44,21.08,1,29,23,52,40,12,1,Ensolarado,18,Domingo,2.4
256,23,172.4,3,26,13,39,35,4,0,Chuvoso,20,Quinta,1.5
257,76,37.21,1,18,51,69,50,19,1,Ensolarado,20,Sábado,6.3
258,45,22.77,4,14,18,32,32,0,0,Ensolarado,17,Sábado,2.2
259,3,15.0,4,41,20,61,46,15,1,Nublado,15,Sábado,1.7
260,46,20.39,2,29,13,42,48,-6,0,Nublado,6,Sábado,3.1
261,29,23.81,5,13,22,35,35,0,0,Ensolarado,4,Terça,3.4
262,34,47.06,2,11,10,21,22,-1,0,Nublado,16,Domingo,0.7
263,50,65.48,4,12,18,30,25,5,0,Ensolarado,19,Terça,0.5
264,39,74.6,2,15,34,49,33,16,1,Ensolarado,21,Quarta,1.6
265,66,81.58,2,17,32,49,22,27,1,Tempestade,21,Sábado,0.5
266,32,140.41,5,16,11,27,24,3,0,Nublado,23,Sexta,0.5
267,19,33.61,1,60,10,70,45,25,1,Chuvoso,16,Sábado,0.5
268,62,77.4,2,22,21,43,43,0,0,Nublado,18,Sábado,2.5
269,66,97.5,3,12,16,28,25,3,0,Ensolarado,7,Sábado,1.5
270,69,41.2,1,11,22,33,38,-5,0,Ensolarado,14,Sábado,4.3
271,25,74.16,2,42,42,84,55,29,1,Garoa,21,Quinta,3.5
272,9,50.51,3,13,12,25,24,1,0,Ensolarado,23,Domingo,0.5
273,40,140.25,6,28,97,125,60,65,1,Chuvoso,13,Sábado,9.7
274,9,99.27,1,15,26,41,30,11,1,Chuvoso,8,Sexta,2.3
275,24,28.5,2,16,18,34,30,4,0,Ensolarado,6,Sábado,1.5
276,9,22.94,5,17,29,46,34,12,1,Chuvoso,17,Sexta,3.5
277,9,40.61,3,13,32,45,32,13,1,Nublado,13,Sábado,2.9
278,69,72.83,1,14,34,48,29,19,1,Ensolarado,13,Sábado,1.4
279,80,109.42,3,26,22,48,34,14,1,Ensolarado,19,Sexta,0.8
280,25,55.22,6,44,11,55,49,6,1,Nublado,11,Quarta,1.7
281,43,90.94,1,13,22,35,29,6,1,Nublado,12,Domingo,1.7
282,32,67.08,2,20,23,43,24,19,1,Tempestade,21,Quinta,0.5
283,52,55.99,2,28,49,77,57,20,1,Chuvoso,7,Sábado,6.5
284,68,44.23,5,22,29,51,33,18,1,Nublado,13,Segunda,1.6
285,15,29.8,3,19,25,44,32,12,1,Garoa,21,Sábado,2.2
286,18,92.74,2,19,80,99,73,26,1,Ensolarado,20,Sexta,12.5
287,38,22.52,3,13,40,53,53,0,0,Ensolarado,8,Sábado,8.8
288,31,48.27,3,25,24,49,40,9,1,Nublado,13,Sábado,1.5
289,27,30.67,4,13,30,43,41,2,0,Garoa,7,Quarta,5.0
290,60,15.0,1,45,14,59,44,15,1,Chuvoso,16,Sábado,0.5
291,80,22.35,3,25,49,74,66,8,1,Nublado,22,Sexta,10.2
292,68,134.9,3,24,21,45,30,15,1,Chuvoso,13,Domingo,0.5
293,2,57.42,5,49,13,62,50,12,1,Nublado,9,Domingo,1.5
294,14,23.35,2,11,11,22,24,-2,0,Ensolarado,6,Terça,0.6
295,63,46.01,5,17,21,38,41,-3,0,Ensolarado,12,Sábado,3.2
296,24,19.16,3,16,19,35,27,8,1,Ensolarado,21,Sábado,0.5
297,66,64.05,3,10,12,22,27,-5,0,Ensolarado,17,Terça,2.0
298,66,74.56,2,10,18,28,30,-2,0,Garoa,16,Terça,2.8
299,72,167.43,4,11,27,38,30,8,1,Nublado,18,Sábado,3.2
300,33,68.89,1,21,27,48,43,5,0,Ensolarado,17,Sábado,3.5
301,44,66.24,4,33,24,57,37,20,1,Chuvoso,18,Sexta,1.5
302,22,169.45,3,16,12,28,29,-1,0,Nublado,14,Sexta,0.5
303,64,24.14,4,14,26,40,31,9,1,Nublado,12,Domingo,2.4
304,42,64.26,1,22,21,43,39,4,0,Ensolarado,19,Quarta,1.3
305,57,105.59,3,18,34,52,50,2,0,Ensolarado,14,Sexta,6.6
306,77,29.28,5,17,15,32,26,6,1,Chuvoso,12,Sábado,0.5
307,80,79.87,3,22,23,45,45,0,0,Ensolarado,23,Terça,3.9
308,9,29.59,2,13,23,36,25,11,1,Ensolarado,12,Quinta,0.7
309,59,129.17,3,27,17,44,39,5,0,Ensolarado,7,Quarta,0.7
310,56,61.32,2,25,20,45,34,11,1,Ensolarado,11,Domingo,0.5
311,4,102.96,3,19,53,72,48,24,1,Chuvoso,17,Quarta,6.2
312,50,35.18,1,12,13,25,25,0,0,Ensolarado,16,Sexta,0.5
313,26,56.36,2,23,16,39,34,5,0,Garoa,22,Sexta,1.6
314,58,15.0,5,19,21,40,35,5,0,Nublado,13,Segunda,2.5
315,1,43.07,4,24,27,51,42,9,1,Nublado,18,Quinta,3.7
316,28,19.72,4,29,18,47,34,13,1,Chuvoso,14,Domingo,0.5
317,59,79.88,2,34,23,57,45,12,1,Nublado,13,Quinta,2.4
318,3,21.37,4,37,11,48,48,0,0,Nublado,17,Segunda,2.4
319,44,45.55,1,32,19,51,35,16,1,Chuvoso,12,Domingo,1.1
320,26,15.29,2,25,39,64,48,16,1,Chuvoso,23,Quinta,5.6
321,75,17.89,3,19,14,33,33,0,0,Ensolarado,22,Sábado,0.9
322,28,71.45,2,20,19,39,36,3,0,Ensolarado,16,Segunda,1.1
323,42,149.62,3,29,14,43,43,0,0,Nublado,15,Quinta,2.5
324,73,15.0,6,10,39,49,34,15,1,Ensolarado,12,Sexta,3.0
325,62,43.87,4,22,67,89,77,12,1,Ensolarado,19,Quarta,12.7
326,25,35.97,4,33,22,55,50,5,0,Ensolarado,17,Sábado,1.9
327,16,32.93,3,31,49,80,49,31,1,Garoa,13,Sábado,4.7
328,56,28.9,1,34,34,68,43,25,1,Chuvoso,20,Sábado,3.2
329,59,60.86,4,51,17,68,39,29,1,Chuvoso,15,Domingo,0.8
330,68,105.66,2,22,19,41,38,3,0,Nublado,17,Sábado,3.0
331,40,74.78,1,28,19,47,30,17,1,Chuvoso,18,Sexta,0.5
332,39,127.79,1,31,14,45,30,15,1,Garoa,19,Segunda,0.6
333,67,54.73,3,12,19,31,31,0,0,Ensolarado,2,Quarta,2.6
334,47,19.51,5,12,25,37,28,9,1,Garoa,14,Sábado,2.7
335,27,39.14,2,17,15,32,26,6,1,Ensolarado,19,Segunda,0.5
336,65,80.71,2,32,40,72,50,22,1,Nublado,12,Sábado,3.7
337,3,43.13,2,30,50,80,74,6,1,Ensolarado,9,Domingo,10.2
338,54,54.35,3,26,21,47,43,4,0,Nublado,20,Sábado,1.8
339,3,24.71,3,36,15,51,42,9,1,Ensolarado,18,Terça,0.5
340,14,23.14,2,13,58,71,65,6,1,Ensolarado,10,Domingo,12.9
341,31,42.37,2,24,10,34,42,-8,0,Ensolarado,10,Sábado,2.1
342,37,56.02,1,17,17,34,29,5,0,Ensolarado,22,Sábado,0.5
343,19,34.24,4,39,33,72,51,21,1,Garoa,19,Quinta,2.4
344,31,38.5,2,20,39,59,63,-4,0,Ensolarado,22,Sábado,8.4
345,29,69.0,2,13,24,37,30,7,1,Nublado,19,Quinta,2.0
346,17,28.05,5,19,36,55,48,7,1,Nublado,15,Terça,6.2
347,8,78.29,3,10,29,39,29,10,1,Nublado,19,Terça,3.0
348,43,125.5,3,13,29,42,43,-1,0,Nublado,11,Sábado,5.9
349,35,28.74,1,22,13,35,40,-5,0,Chuvoso,5,Quinta,3.4
350,74,47.46,5,15,30,45,29,16,1,Nublado,20,Segunda,2.2
